Date,Time,URL,Title,Location,Committee,Date Scraped,video_url
9/25/19,9:15 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=84812343-2E0E-4869-9CC8-FC1CE1C171F1,Committee Business Meeting,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw092519&auto_play=false
9/18/19,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=2FEEDD04-A114-4753-B1CF-BE2182C91CA8,Improving American Economic Competitiveness through Water Resources Infrastructure,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw091819&auto_play=false
9/11/19,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=DBBE734D-D0DF-4EEA-8B57-AE82FDEC8E05,Hearing on the Nominations of Aurelia Skipwith to be Director of the U.S. Fish and Wildlife Service and Katherine Lemos to be Member and Chairperson of the Chemical Safety and Hazard Investigation Board,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw091119&auto_play=false
8/28/19,2:00 PM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=FB697F11-EB64-426B-A62F-7B438647B7F0,Oversight of the U.S. Army Corps of Engineers’ Management of the Spring 2019 Missouri River Basin Flooding,,Enviroment,2021-09-07,
7/30/19,9:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=787CB1DC-4ADA-496F-BA78-B2DA16BEF838,Committee Business Meeting,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw073019&auto_play=false
7/24/19,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=06C9A137-C32A-43CC-8C04-9BF011C58649,Theodore Roosevelt Genius Prize: Innovative Solutions to Reduce Human-Predator Conflict,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw072419&auto_play=false
7/17/19,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=22DBE78B-11F0-491A-B8FB-7A9F3049F8EF,Electric Battery Production and Waste: Opportunities and Challenges,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw071719&auto_play=false
7/10/19,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=FF9A8EE5-ECD3-44B0-9A5C-9EB617A325E1,Investing in America’s Surface Transportation Infrastructure: The Need for a Multi-Year Reauthorization Bill,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw071019&auto_play=false
6/19/19,9:30 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=3F09949F-E386-4AF4-BC78-3C55F2555684,Committee Business Meeting,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw061919&auto_play=false
6/12/19,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=08604F20-C3B3-4F98-BB3F-C3D417A9F726,A Review of Waters of the U.S. Regulations: Their Impact on States and the American People,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw061219&auto_play=false
6/11/19,2:30 PM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=EA437058-4EE9-4C12-8168-90CEA7D447C9,Subcommittee Hearing on the Nomination of William B. Kilbride to be a Member of the Board of Directors of the Tennessee Valley Authority,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw061119&auto_play=false
6/4/19,11:30 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=568F50FF-A13F-43F5-9DB3-B39D8A519E8C,Advanced Nuclear Technology: Protecting U.S. Leadership and Expanding Opportunities for Licensing New Nuclear Energy Technologies,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw060419p&auto_play=false
6/4/19,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=0A030012-28BF-4193-B7FE-B9E69487B746,"Hearing on the Nomination of Robert Wallace to be Assistant Secretary for Fish, Wildlife, and Parks at the Department of the Interior",,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw060419&auto_play=false
5/22/19,9:45 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=7F34804C-952F-4F16-BDE3-C60DBD57F5E3,Examining Legislation to Address the Risks Associated with Per- and Polyfluoroalkyl Substances (PFAS),,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw052219&auto_play=false
5/15/19,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=84CA2181-3A68-4D01-AE5D-EC8237E5436A,Oversight of the Council on Environmental Quality,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw051519&auto_play=false
5/8/19,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=34DF38E4-B361-4E29-A3B0-05EA80ACCC1D,Oversight Hearing on the U.S. Army Corps of Engineers’ Civil Works Program,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw050819&auto_play=false
5/1/19,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=B6EF5BFA-5CEF-4F5F-B0C9-0719315079DC,"Legislative Hearing on a Discussion Draft Bill, S. __, Nuclear Waste Policy Amendments Act of 2019",,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw050119&auto_play=false
4/17/19,8:30 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=298FB2A9-A163-4238-92EA-C020221C797A,Field Oversight Hearing on the U.S. Army Corps of Engineers’ Management of the 2019 Missouri River Basin Flooding,,Enviroment,2021-09-07,
