,id,Witnesses,count
747,10037,Hillary R. Clinton,6
748,353,Adam J. Szubin,6
749,556,Alan Reuther,6
750,18368,Michael B. Enzi,6
751,16021,Lee Hamilton,6
752,10394,J. Thomas Manger,6
753,18465,Michael D. Brown,6
754,28157,William H. Gerstenmaier,6
755,18171,Mccoy Williams,6
756,5248,Daniel L. Glaser,6
757,13151,John Marburger Iii,6
758,13101,John Lettieri,6
759,663,Alex M. Azar Ii,6
760,9979,Henry M. Paulson,6
761,5254,Daniel Levinson,6
762,12815,John Dicken,6
763,377,Adam Sieminski,6
764,16191,Lester M. Crawford,6
765,16106,Leon Rodriguez,6
767,25098,Stephen Burns,6
768,5262,Daniel M. Tangherlini,6
769,13252,John Paul Woodley,6
770,13128,John M. Mchugh,6
771,5212,Daniel I. Gordon,6
772,24381,Scott Faber,6
773,629,Alejandro Mayorkas,6
774,24310,Scot Marciel,6
775,13272,John Prendergast,6
776,25119,Stephen E. Biegun,6
777,13480,John Wagner,6
778,18374,Michael B. Mukasey,6
779,632,Alejandro N. Mayorkas,6
780,20915,Peter Bergen,6
781,20923,Peter Budetti,6
782,9793,Harry B. Harris,6
783,28188,William Hubbard,6
784,18156,Maya Macguineas,6
785,5427,Darryl Lacounte,6
786,10177,Ian Brzezinski,6
787,8727,Fritz Hollings,5
788,528,Alan Krueger,5
789,14904,Kelly Ayotte,5
790,26379,Thomas D. Waldhauser,5
791,23557,Ron Gebhardtsbauer,5
792,7288,Dov S. Zakheim,5
793,24613,Shalanda D. Young,5
794,15908,Lawrence B. Lindsey,5
795,2701,Brian D. Miller,5
796,16582,Louis Fisher,5
797,18344,Michael A. Sheehan,5
798,10840,James Hastings,5
799,10825,James H. Dickinson,5
800,3471,Cass R. Sunstein,5
801,6170,David Strickland,5
802,2170,Betsy Devos,5
803,27490,Veronique De Rugy,5
804,25775,Susan Coppedge,5
805,21623,Randall G. Schriver,5
806,15885,Laurie S. Goodman,5
807,10897,James L. Connaughton,5
808,10283,Ivan Posey,5
809,22313,Richard L. Trumka,5
810,21673,Randy Grinnell,5
811,23586,Ron Suppah,5
812,28420,Winslow Sargeant,5
813,28093,William E. Gortney,5
814,22285,Richard Jones,5
815,10875,James K. Glassman,5
816,14016,Joseph Y. Yun,5
817,1421,Anne-Marie Fennell,5
818,27400,Usaf,5
819,22295,Richard Ketchum,5
820,28354,William Solis,5
821,11783,Jeffrey S. Merrifield,5
822,10866,James Jay Carafano,5
823,28242,William L. Sheltonf,5
824,23634,Ronald E. Neumann,5
825,8791,Gail Wilensky,5
826,12302,Jim Wells,5
827,12954,John Graham,5
831,1381,Anne Harrington,5
832,21682,Randy L. Pleva Sr.,5
833,26372,Thomas Carper,5
834,28097,William E. Kovacic,5
835,3584,Cfm,5
836,23561,Ron Haskins,5
837,1448,Anthony B. Sanders,5
838,17123,Maria Korsnick,5
839,6119,David Satterfield,5
840,20137,Oren Cass,5
841,4935,Dale Hall,5
842,7828,Elizabeth Rosenberg,5
843,7402,Earl E. Devaney,5
844,28037,William Burrus,5
845,23879,Russell Feingold,5
846,22416,Richard Smith,5
847,23866,Russell Begaye,5
848,5989,David Miliband,5
849,20979,Peter Harrell,5
850,607,Alberto Gonzales,5
851,5994,David Mitchell,5
852,11705,Jeffrey D. Zients,5
853,27589,Viet D. Dinh,5
854,9707,Haley Barbour,5
855,10738,James E. Cartwright,5
856,18491,Michael Dougherty,5
857,14835,Keith Collins,5
858,15527,Kurt Campbell,5
859,11694,Jeffrey Citron,5
861,18717,Michael L. Connor,5
862,9669,H. Gene Overstreet (Ret.),5
863,19467,Mr. Gregory D. Kutz,5
864,13781,Joseph A. Smith,5
865,13144,John Madden,5
866,1088,Andrew G. Biggs,5
867,4430,Cindy Mann,5
868,34,"""Collin OMara""",5
869,5901,David L. Norquist,5
870,15547,Kurt Volker,5
871,21457,R. James Woolsey,5
872,5920,David Lochbaum,5
873,2594,Brenda Farrell,5
874,5346,Danielle Pletka,5
875,13134,John M. Paxton,5
876,18787,Michael Mcraith,5
877,25508,Steven Chu,5
878,6111,David S.C. Chu,5
879,18116,Maureen Ohlhausen,5
880,5291,Daniel R. Russel,5
881,2662,Brett Mcgurk,5
882,1251,Angela Bailey,5
883,8941,Gary Samore,5
884,18835,Michael P. Huerta,5
885,110,"""Michael ORielly""",5
886,4931,Dale E. Klein,5
887,13903,Joseph M. Otting,5
888,2673,Brian A. Nichols,5
889,2677,Brian Anderson,5
890,11394,Jason Grumet,5
891,23762,Roslyn Layton,5
892,27501,Vice Admiral Conrad C. Lautenbacher,5
893,16539,Lori J. Robinsonf,5
894,3745,Charles H. Ramsey,5
895,7377,E. Anthony Wayne,5
896,22767,Robert D. Hormats,5
897,26780,Tim Scott,5
898,1203,Andrew Wheeler,5
899,18110,Maureen K. Ohlhausen,5
900,17793,Mary E. Peters,5
901,13876,Joseph Kile,5
902,11720,Jeffrey Feltman,5
903,22375,Richard P. Formica,5
904,18827,Michael O’Rielly,5
905,24357,Scott Cleland,5
906,2652,Brett Giroir,5
907,21560,Rajiv J. Shah,5
908,11727,Jeffrey H. Smith,5
909,25544,Steven H. Walker,5
910,13882,Joseph L. Lengyel,5
911,16656,Luis V. Gutierrez,5
912,11319,Janet Yellen,5
913,10918,James Lewis,5
914,28202,William J. Fox,5
915,17487,Mark R. Warner,5
916,18239,Melissa Emrey-Arras,5
